Pattern,Solar_PV_Pump,Solar_PV_Buildings_DGVCL,Solar_PV_Buildings_Kachchh,Solar_PV_Buildings_MGVCL,Solar_PV_Pumps_PGVCL,Solar_PV_Buildings_UGVCL,Solar_PV_Utility_DGVCL,Solar_PV_Utility_Kachchh,Solar_PV_Utility_MGVCL,Solar_PV_Utility_PGVCL,Solar_PV_Utility_UGVCL,Wind_Offshore_Ahmedabad,Wind_Offshore_DGVCL,Wind_Offshore_Kachchh,Wind_Offshore_MGVCL,Wind_Offshore_PGVCL,Wind_Offshore_Surat,Wind_Offshore_UGVCL,Wind_Onshore_Ahmedabad,Wind_Onshore_DGVCL,Wind_Onshore_Kachchh,Wind_Onshore_MGVCL,Wind_Onshore_PGVCL,Wind_Onshore_Surat,Wind_Onshore_UGVCL
"M5,D5,H15",0.630873562,63.08735618,63.08735618,63.08735618,63.08735618,63.08735618,63.08735618,63.08735618,63.08735618,63.08735618,63.08735618,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038
"M5,D5,H16",0.516848354,51.6848354,51.6848354,51.6848354,51.6848354,51.6848354,51.6848354,51.6848354,51.6848354,51.6848354,51.6848354,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431
"M5,D5,H17",0.381315739,38.13157391,38.13157391,38.13157391,38.13157391,38.13157391,38.13157391,38.13157391,38.13157391,38.13157391,38.13157391,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668
"M5,D5,H18",0.277851784,27.78517835,27.78517835,27.78517835,27.78517835,27.78517835,27.78517835,27.78517835,27.78517835,27.78517835,27.78517835,37.75761846,37.75761846,37.75761846,37.75761846,37.75761846,37.75761846,37.75761846,37.75761846,37.75761846,37.75761846,37.75761846,37.75761846,37.75761846,37.75761846
"M5,D5,H19",0.121644239,12.16442386,12.16442386,12.16442386,12.16442386,12.16442386,12.16442386,12.16442386,12.16442386,12.16442386,12.16442386,39.36938524,39.36938524,39.36938524,39.36938524,39.36938524,39.36938524,39.36938524,39.36938524,39.36938524,39.36938524,39.36938524,39.36938524,39.36938524,39.36938524
"M5,D5,H20",0,0,0,0,0,0,0,0,0,0,0,38.34771887,38.34771887,38.34771887,38.34771887,38.34771887,38.34771887,38.34771887,38.34771887,38.34771887,38.34771887,38.34771887,38.34771887,38.34771887,38.34771887
"M5,D5,H21",0,0,0,0,0,0,0,0,0,0,0,36.35723093,36.35723093,36.35723093,36.35723093,36.35723093,36.35723093,36.35723093,36.35723093,36.35723093,36.35723093,36.35723093,36.35723093,36.35723093,36.35723093
"M5,D5,H22",0,0,0,0,0,0,0,0,0,0,0,34.366743,34.366743,34.366743,34.366743,34.366743,34.366743,34.366743,34.366743,34.366743,34.366743,34.366743,34.366743,34.366743,34.366743
"M5,D5,H23",0,0,0,0,0,0,0,0,0,0,0,32.2529505,32.2529505,32.2529505,32.2529505,32.2529505,32.2529505,32.2529505,32.2529505,32.2529505,32.2529505,32.2529505,32.2529505,32.2529505,32.2529505
"M5,D5,H24",0,0,0,0,0,0,0,0,0,0,0,29.74282191,29.74282191,29.74282191,29.74282191,29.74282191,29.74282191,29.74282191,29.74282191,29.74282191,29.74282191,29.74282191,29.74282191,29.74282191,29.74282191
"M5,D6,H1",0,0,0,0,0,0,0,0,0,0,0,27.19746345,27.19746345,27.19746345,27.19746345,27.19746345,27.19746345,27.19746345,27.19746345,27.19746345,27.19746345,27.19746345,27.19746345,27.19746345,27.19746345
"M5,D6,H2",0,0,0,0,0,0,0,0,0,0,0,26.54571076,26.54571076,26.54571076,26.54571076,26.54571076,26.54571076,26.54571076,26.54571076,26.54571076,26.54571076,26.54571076,26.54571076,26.54571076,26.54571076
"M5,D6,H3",0,0,0,0,0,0,0,0,0,0,0,25.92918795,25.92918795,25.92918795,25.92918795,25.92918795,25.92918795,25.92918795,25.92918795,25.92918795,25.92918795,25.92918795,25.92918795,25.92918795,25.92918795
"M5,D6,H4",0,0,0,0,0,0,0,0,0,0,0,24.94275145,24.94275145,24.94275145,24.94275145,24.94275145,24.94275145,24.94275145,24.94275145,24.94275145,24.94275145,24.94275145,24.94275145,24.94275145,24.94275145
"M5,D6,H5",0,0,0,0,0,0,0,0,0,0,0,23.69209089,23.69209089,23.69209089,23.69209089,23.69209089,23.69209089,23.69209089,23.69209089,23.69209089,23.69209089,23.69209089,23.69209089,23.69209089,23.69209089
"M5,D6,H6",0.000000522,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,22.49427515,22.49427515,22.49427515,22.49427515,22.49427515,22.49427515,22.49427515,22.49427515,22.49427515,22.49427515,22.49427515,22.49427515,22.49427515,22.49427515
"M5,D6,H7",0.069424821,6.94248211,6.94248211,6.94248211,6.94248211,6.94248211,6.94248211,6.94248211,6.94248211,6.94248211,6.94248211,21.04985027,21.04985027,21.04985027,21.04985027,21.04985027,21.04985027,21.04985027,21.04985027,21.04985027,21.04985027,21.04985027,21.04985027,21.04985027,21.04985027
"M5,D6,H8",0.208735094,20.87350939,20.87350939,20.87350939,20.87350939,20.87350939,20.87350939,20.87350939,20.87350939,20.87350939,20.87350939,19.1826669,19.1826669,19.1826669,19.1826669,19.1826669,19.1826669,19.1826669,19.1826669,19.1826669,19.1826669,19.1826669,19.1826669,19.1826669,19.1826669
"M5,D6,H9",0.36288338,36.288338,36.288338,36.288338,36.288338,36.288338,36.288338,36.288338,36.288338,36.288338,36.288338,18.88321296,18.88321296,18.88321296,18.88321296,18.88321296,18.88321296,18.88321296,18.88321296,18.88321296,18.88321296,18.88321296,18.88321296,18.88321296,18.88321296
"M5,D6,H10",0.519236983,51.92369827,51.92369827,51.92369827,51.92369827,51.92369827,51.92369827,51.92369827,51.92369827,51.92369827,51.92369827,18.91844284,18.91844284,18.91844284,18.91844284,18.91844284,18.91844284,18.91844284,18.91844284,18.91844284,18.91844284,18.91844284,18.91844284,18.91844284,18.91844284
"M5,D6,H11",0.639017461,63.90174609,63.90174609,63.90174609,63.90174609,63.90174609,63.90174609,63.90174609,63.90174609,63.90174609,63.90174609,19.25312665,19.25312665,19.25312665,19.25312665,19.25312665,19.25312665,19.25312665,19.25312665,19.25312665,19.25312665,19.25312665,19.25312665,19.25312665,19.25312665
"M5,D6,H12",0.708933726,70.89337258,70.89337258,70.89337258,70.89337258,70.89337258,70.89337258,70.89337258,70.89337258,70.89337258,70.89337258,20.48617227,20.48617227,20.48617227,20.48617227,20.48617227,20.48617227,20.48617227,20.48617227,20.48617227,20.48617227,20.48617227,20.48617227,20.48617227,20.48617227
"M5,D6,H13",0.727298888,72.72988877,72.72988877,72.72988877,72.72988877,72.72988877,72.72988877,72.72988877,72.72988877,72.72988877,72.72988877,23.42786683,23.42786683,23.42786683,23.42786683,23.42786683,23.42786683,23.42786683,23.42786683,23.42786683,23.42786683,23.42786683,23.42786683,23.42786683,23.42786683
"M5,D6,H14",0.70085389,70.08538899,70.08538899,70.08538899,70.08538899,70.08538899,70.08538899,70.08538899,70.08538899,70.08538899,70.08538899,26.49286595,26.49286595,26.49286595,26.49286595,26.49286595,26.49286595,26.49286595,26.49286595,26.49286595,26.49286595,26.49286595,26.49286595,26.49286595,26.49286595
"M5,D6,H15",0.630873562,63.08735618,63.08735618,63.08735618,63.08735618,63.08735618,63.08735618,63.08735618,63.08735618,63.08735618,63.08735618,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038,29.46979038
"M5,D6,H16",0.516848354,51.6848354,51.6848354,51.6848354,51.6848354,51.6848354,51.6848354,51.6848354,51.6848354,51.6848354,51.6848354,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431,32.58763431
"M5,D6,H17",0.381315739,38.13157391,38.13157391,38.13157391,38.13157391,38.13157391,38.13157391,38.13157391,38.13157391,38.13157391,38.13157391,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668,34.73665668
